Timestamp;Value
2009-02-05;-4141
2009-02-06;-4144
2009-02-07;-4146
2009-02-08;-4148
2009-02-09;-4151
2009-02-10;-4154
2009-02-11;-4156
2009-02-12;-4159
2009-02-13;-4161
2009-02-14;-4163
2009-02-15;-4165
2009-02-16;-4168
2009-02-17;-4171
2009-02-18;-4174
2009-02-19;-4178
2009-02-20;-4183
2009-02-21;-4186
2009-02-22;-4188
2009-02-23;-4190
2009-02-24;-4193
2009-02-25;-4197
2009-02-26;-4200
2009-02-27;-4203
2009-02-28;-4206
2009-03-01;-4209
2009-03-02;-4211
2009-03-03;-4214
2009-03-04;-4218
2009-03-05;-4222
2009-03-06;-4224
2009-03-07;-4227
2009-03-08;-4229
2009-03-09;-4232
2009-03-10;-4236
2009-03-11;-4239
2009-03-12;-4242
2009-03-13;-4245
2009-03-14;-4248
2009-03-15;-4252
2009-03-16;-4255
2009-03-17;-4258
2009-03-18;-4261
2009-03-19;-4265
2009-03-20;-4269
2009-03-21;-4272
2009-03-22;-4276
2009-03-23;-4278
2009-03-24;-4281
2009-03-25;-4284
2009-03-26;-4288
2009-03-27;-4292
2009-03-28;-4295
2009-03-29;-4301
2009-03-30;-4303
2009-03-31;-4306
2009-04-01;-4310
2009-04-02;-4310
2009-04-03;-4312
2009-04-04;-4313
2009-04-05;-4313
2009-04-06;-4314
2009-04-07;-4316
2009-04-08;-4319
2009-04-09;-4323
2009-04-10;-4326
2009-04-11;-4329
2009-04-12;-4332
2009-04-13;-4333
2009-04-14;-4334
2009-04-15;-4336
2009-04-16;-4339
2009-04-17;-4342
2009-04-18;-4346
2009-04-19;-4351
2009-04-20;-4354
2009-04-21;-4359
2009-04-22;-4361
2009-04-23;-4363
2009-04-24;-4365
2009-04-25;-4368
2009-04-26;-4373
2009-04-27;-4376
2009-04-28;-4377
2009-04-29;-4373
2009-04-30;-4356
2009-05-01;-4346
2009-05-02;-4335
2009-05-03;-4323
2009-05-04;-4307
2009-05-05;-4289
2009-05-06;-4277
2009-05-07;-4263
